2025-07-25 17:40:33,19244.45,451.95,12.02,6.68
2025-07-25 17:40:35,5670.37,184.71,-0.41,2.24
2025-07-25 17:40:36,10545.75,368.36,-4.53,11.58
2025-07-25 17:40:37,27163.21,534.59,-5.04,10.79
2025-07-25 17:40:37,7503.04,403.12,-10.49,3.44
2025-07-25 17:40:38,16349.75,717.81,-49.43,11.85
2025-07-25 17:40:38,27257.17,317.42,-43.76,7.57
2025-07-25 17:40:38,21642.67,527.34,-11.64,4.91
2025-07-25 17:40:38,12439.43,708.67,-46.41,11.4
2025-07-25 17:40:39,15000.04,302.27,-26.78,5.55
2025-07-25 17:40:40,8576.62,658.38,23.58,4.76
2025-07-25 17:40:40,5410.08,493.78,19.05,1.26
2025-07-25 17:40:41,34876.52,430.41,-43.76,4.5
2025-07-25 17:40:51,5357.54,808.97,7.41,9.87
2025-07-25 17:43:41,22755.44,310.19,26.38,2.19
2025-07-25 17:43:48,607.2,225.23,-30.37,0.1
2025-07-25 17:43:48,29605.8,708.72,36.21,4.54
2025-07-25 17:43:49,6378.1,725.6,-42.48,5.92
2025-07-25 17:43:50,10699.33,238.74,-24.28,0.38
2025-07-25 17:43:50,9133.09,450.91,-7.78,7.51
2025-07-25 17:43:51,4093.14,411.59,0.27,4.6
2025-07-25 17:43:51,26096.01,446.71,8.59,7.84
2025-07-25 17:43:52,717.75,831.07,11.83,9.82
2025-07-25 17:43:52,23627.54,657.91,3.91,9.84
